em,_company_name,link,ticker,market_id,market_name
16457,ВолгЭнСб-п,https://www.finam.ru/quote/moex/vgsbp/,VGSBP,1,МосБиржа акции
2031756,TMOS ETF (БПИФ ТИНЬКОФФ ИНДЕКС МОСБИРЖИ),https://www.finam.ru/quote/moex/tmos/,TMOS,515,Мосбиржа ETF
20087,СтаврЭнСб,https://www.finam.ru/quote/moex/stsb/,STSB,1,МосБиржа акции
24,СаратЭн-ап,https://www.finam.ru/quote/moex/sarep/,SAREP,1,МосБиржа акции
16284,КСБ ао,https://www.finam.ru/quote/moex/ktsb/,KTSB,1,МосБиржа акции
16615,ТНСэнНН ао,https://www.finam.ru/quote/moex/nnsb/,NNSB,1,МосБиржа акции
81769,Якутскэн-п,https://www.finam.ru/quote/moex/ykenp/,YKENP,1,МосБиржа акции
74744,ДонскЗР,https://www.finam.ru/quote/moex/dzrd/,DZRD,1,МосБиржа акции
16343,ТНСэнЯр-п,https://www.finam.ru/quote/moex/yrsbp/,YRSBP,1,МосБиржа акции
19096,ЦМТ ап,https://www.finam.ru/quote/moex/wtcmp/,WTCMP,1,МосБиржа акции
83252,ВыбСудЗ ап,https://www.finam.ru/quote/moex/vsydp/,VSYDP,1,МосБиржа акции
20498,КамчатЭ ап,https://www.finam.ru/quote/moex/kchep/,KCHEP,1,МосБиржа акции
16797,ТРК ао,https://www.finam.ru/quote/moex/tors/,TORS,1,МосБиржа акции
81955,Варьеган-п,https://www.finam.ru/quote/moex/vjgzp/,VJGZP,1,МосБиржа акции
20913,Красэсб ап,https://www.finam.ru/quote/moex/krsbp/,KRSBP,1,МосБиржа акции
81998,ГАЗ ап,https://www.finam.ru/quote/moex/gazap/,GAZAP,1,МосБиржа акции
2703844,TGLD ETF (БПИФ ТИНЬКОФФ ЗОЛОТО),https://www.finam.ru/quote/moex/tgld/,-,-,-
80818,Приморье,https://www.finam.ru/quote/moex/prmb/,PRMB,1,МосБиржа акции
16798,ТРК ап,https://www.finam.ru/quote/moex/torsp/,TORSP,1,МосБиржа акции
70,СамарЭн-ап,https://www.finam.ru/quote/moex/sagop/,SAGOP,1,МосБиржа акции
16866,Росбанк ао,https://www.finam.ru/quote/moex/rosb/,ROSB,1,МосБиржа акции
20710,КоршГОК ао,https://www.finam.ru/quote/moex/kogk/,KOGK,1,МосБиржа акции
2534843,HMSG-гдр,https://www.finam.ru/quote/moex/hmsg/,MOEX.HMSG:TQBR,1,МосБиржа акции
15722,Славн-ЯНОС,https://www.finam.ru/quote/moex/jnos/,JNOS,1,МосБиржа акции
16266,ТамбЭнСб-п,https://www.finam.ru/quote/moex/tasbp/,TASBP,1,МосБиржа акции
2646025,TBRU ETF (БПИФ ТИНЬКОФФ ОБЛИГАЦИИ),https://www.finam.ru/quote/moex/tbru/,MISX.TBRU,515,Мосбиржа ETF
152350,КурганГКап,https://www.finam.ru/quote/moex/kgkcp/,KGKCP,1,МосБиржа акции
82611,УрКузница,https://www.finam.ru/quote/moex/urkz/,URKZ,1,МосБиржа акции
16616,ТНСэнНН ап,https://www.finam.ru/quote/moex/nnsbp/,NNSBP,1,МосБиржа акции
2868452,СПБ Биржа,https://www.finam.ru/quote/moex/spbe/,MOEX.SPBE:TQBR,1,МосБиржа акции
16285,КСБ ап,https://www.finam.ru/quote/moex/ktsbp/,KTSBP,1,МосБиржа акции
1822421,ETF AKMB (БПИФ Альфа Управляем облигации),https://www.finam.ru/quote/moex/akmb/,AKMB,515,Мосбиржа ETF
152397,ГазпРнД ао,https://www.finam.ru/quote/moex/rtgz/,RTGZ,1,МосБиржа акции
3811557,НакопРез (ОПИФ Накопительный резерв),https://www.finam.ru/quote/moex/ru000a0jt4s1/,MOEX.RU000A0JT4S1:TQIF,29,МосБиржа пифы
909136,SBRB ETF (БПИФ Первая Корп облигации),https://www.finam.ru/quote/moex/sbrb/,SBRB,515,Мосбиржа ETF
3728100,OBLG ETF (БПИФ Российскиеоблигации УКВИМ),https://www.finam.ru/quote/moex/oblg/,MISX.OBLG,14,МосБиржа фьючерсы
74562,МагадЭн ао,https://www.finam.ru/quote/moex/mage/,MAGE,1,МосБиржа акции
4164147,ПАРУС-ЛОГ (ЗПИФ ПАРУС-ЛОГИСТИКА),https://www.finam.ru/quote/moex/ru000a105328/,MOEX.RU000A105328:TQIF,29,МосБиржа пифы
497675,SBMX ETF (БПИФ Первая Топ Рос. акций),https://www.finam.ru/quote/moex/sbmx/,SBMX,515,Мосбиржа ETF
4473035,ПАРУС-ДВН (ЗПИФ ПАРУС-Двинцев),https://www.finam.ru/quote/moex/ru000a1068x9/,MOEX.RU000A1068X9:TQIF,29,МосБиржа пифы
181755,РДБанк ао,https://www.finam.ru/quote/moex/rdrb/,RDRB,1,МосБиржа акции
4450396,Славнефть,https://www.finam.ru/quote/moex/slav/,MOEX.SLAV:MTQR,1,МосБиржа акции
4263989,БКСКапитал (ОПИФ БКС Капитал),https://www.finam.ru/quote/moex/ru000a105tu1/,MOEX.RU000A105TU1:TQIF,29,МосБиржа пифы
3728096,EQMX ETF (БПИФ Индекс МосБиржи УК ВИМ),https://www.finam.ru/quote/moex/eqmx/,MISX.EQMX,14,МосБиржа фьючерсы
3728098,GOLD ETF (БПИФ Золото.Биржевой УК ВИМ),https://www.finam.ru/quote/moex/gold/,MISX.GOLD.1,14,МосБиржа фьючерсы
571768,SBGB ETF (БПИФ Первая Гос. облигации),https://www.finam.ru/quote/moex/sbgb/,SBGB,515,Мосбиржа ETF
18523,БКС Основа (ОПИФ БКС Основа),https://www.finam.ru/quote/moex/ru000a0jp799/,RU000A0JP799,29,МосБиржа пифы
2839864,CIAN-адр,https://www.finam.ru/quote/moex/cian/,MOEX.CIAN:TQBR,1,МосБиржа акции
4271198,Новошип ап,https://www.finam.ru/quote/moex/nompp/,MOEX.NOMPP:MTQR,1,МосБиржа акции
2655082,GEMC-гдр,https://www.finam.ru/quote/moex/gemc/,MOEX.GEMC:TQBR,1,МосБиржа акции
2222293,ETF AKME (БПИФ Альфа Управляем Рос Акции),https://www.finam.ru/quote/moex/akme/,MOEX.AKME:TQTF,515,Мосбиржа ETF
